time/fps,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/n_updates,eval/mean_reward,train/value_loss,eval/success_rate,eval/mean_ep_length,train/loss,train/approx_kl,train/entropy_loss
94,0.0,21,6.04740275,1,500.0,2048,,,,,,,,,,,,,,
,,,,,,2500,0.2,-0.0017692550391075201,0.08140456676483154,0.9976412653923035,0.0662109375,0.0003,10,1.8809322000000002,0.4966452621436474,0.0,500.0,0.29312217235565186,0.0060453136,-4.251353423297405
33,0.0,121,4.28659375,2,500.0,4096,,,,,,,,,,,,,,
,,,,,,5000,0.2,-0.0013821593078318984,0.8908309936523438,0.9918150901794434,0.03017578125,0.0003,20,2.7639348000000004,0.1327698572684312,0.0,500.0,0.056434907019138336,0.0046239886,-4.240519720315933
27,0.0,224,26.19071633333333,3,500.0,6144,,,,,,,,,,,,,,
,,,,,,7500,0.2,-0.002833565915352665,0.40905386209487915,0.9973627924919128,0.0443359375,0.0003,30,1.6996119999999997,3.4728912188205867,0.0,500.0,0.02161382883787155,0.00879623,-4.236310891807079
24,0.0,331,19.772384249999998,4,500.0,8192,,,,,,,,,,,,,,
,,,,,,10000,0.2,-0.004803990275831893,0.6685808897018433,0.9948236346244812,0.06435546875,0.0003,40,0.1105574,0.2966666797612561,0.0,500.0,-0.007877178490161896,0.007779857,-4.245125114917755
23,0.0,434,16.469172749999995,5,500.0,10240,,,,,,,,,,,,,,
26,0.0,457,14.476751499999997,6,500.0,12288,0.2,-0.004676141680101864,0.41516798734664917,1.0208683013916016,0.0783203125,0.0003,50,,0.09887849792285124,,,0.00042770057916641235,0.008443398,-4.282110996544361
,,,,,,12500,0.2,-0.005628520582104102,0.6288080215454102,0.990973949432373,0.05732421875,0.0003,60,2.859334,0.2715183396905559,0.0,500.0,0.3940052092075348,0.008875629,-4.273335792124271
25,0.0,560,12.507356178571426,7,500.0,14336,,,,,,,,,,,,,,
,,,,,,15000,0.2,-0.001380087764118798,0.847272515296936,0.9938295483589172,0.036083984375,0.0003,70,2.821675,0.07189954637124174,0.0,500.0,0.020923713222146034,0.006075687,-4.233057101070881
24,0.0,661,11.232684031249997,8,500.0,16384,,,,,,,,,,,,,,
,,,,,,17500,0.2,-0.001831494551151991,0.5138522386550903,0.9875977039337158,0.033349609375,0.0003,80,7.384435600000001,2.6066276597091926,0.0,500.0,1.3427587747573853,0.004179908,-4.2307150810956955
23,0.0,768,17.815976472222218,9,500.0,18432,,,,,,,,,,,,,,
,,,,,,20000,0.2,-0.0012570124854391906,0.805010974407196,0.983874499797821,0.033740234375,0.0003,90,6.1703482,2.060686691480805,0.0,500.0,1.1560200452804565,0.0051227584,-4.213232325017453
23,0.0,870,16.37809325,10,500.0,20480,,,,,,,,,,,,,,
,,,,,,22500,0.2,-0.0013278348138555883,0.7038041353225708,0.9884892106056213,0.043115234375,0.0003,100,3.2786831999999997,0.6157773726379674,0.0,500.0,0.008876039646565914,0.0065399325,-4.212054128944874
23,0.0,976,15.501255088888888,11,500.0,22528,,,,,,,,,,,,,,
24,0.0,1000,20.837152693877545,12,500.0,24576,0.2,-0.003627951693488285,0.7751390337944031,0.9932799339294434,0.068310546875,0.0003,110,,0.8450936119515973,,,0.36544543504714966,0.0069318796,-4.22956316024065
,,,,,,25000,0.2,-0.0032021001155953855,0.674370527267456,1.0086737871170044,0.05361328125,0.0003,120,4.3480642000000005,5.166059830365702,0.0,500.0,4.342536449432373,0.008064937,-4.252798457443714
24,0.0,1105,19.39658456603773,13,500.0,26624,,,,,,,,,,,,,,
,,,,,,27500,0.2,-0.0013610408721433486,0.9005818963050842,1.0153354406356812,0.043994140625,0.0003,130,2.5016482,2.0176118306597344,0.0,500.0,0.08901429921388626,0.005197591,-4.289663606882096
23,0.0,1208,22.18903047368421,14,500.0,28672,,,,,,,,,,,,,,
,,,,,,30000,0.2,-0.0024691350292414425,0.910342812538147,1.0198909044265747,0.04462890625,0.0003,140,1.4808536,5.698702965863049,0.0,500.0,0.4339044988155365,0.0076023256,-4.306207810342312
23,0.0,1311,21.235702852459017,15,500.0,30720,,,,,,,,,,,,,,
,,,,,,32500,0.2,-0.0034719291783403606,0.8784785270690918,1.0122650861740112,0.06279296875,0.0003,150,55.59560380000001,2.006583535252139,0.0,500.0,0.11882015317678452,0.009169709,-4.303479008376598
23,0.0,1413,20.037249861538463,16,500.0,32768,,,,,,,,,,,,,,
24,0.0,1437,18.93211320289855,17,500.0,34816,0.2,-0.003028288821224123,0.406136155128479,1.0157207250595093,0.05166015625,0.0003,160,,1.8989834896528919,,,0.07308880984783173,0.004772609,-4.292978544533253
,,,,,,35000,0.2,-0.0032480277033755554,-1.6418628692626953,1.026661992073059,0.0763671875,0.0003,170,2.391407,0.3702669682672422,0.0,500.0,-0.013927852734923363,0.008429245,-4.3123869255185125
23,0.0,1541,17.9582328630137,18,500.0,36864,,,,,,,,,,,,,,
,,,,,,37500,0.2,-0.004496727761579678,0.2651572823524475,1.0346550941467285,0.094140625,0.0003,180,2.0968384,0.048974687988629736,0.0,500.0,0.0045394571498036385,0.007187616,-4.347299854457378
23,0.0,1644,17.08494292207792,19,500.0,38912,,,,,,,,,,,,,,
,,,,,,40000,0.2,-0.002145253596245311,0.9190458655357361,1.027783989906311,0.05625,0.0003,190,2.2789338000000003,0.016360159097348514,0.0,500.0,-0.0049620699137449265,0.005749326,-4.347367167472839
23,0.0,1747,16.32070296296296,20,500.0,40960,,,,,,,,,,,,,,
,,,,,,42500,0.2,-0.002251996533595957,0.87841796875,1.0346269607543945,0.05673828125,0.0003,200,1.418803,0.037326996116826196,0.0,500.0,0.056129150092601776,0.007237712,-4.346864408254623
23,0.0,1849,15.435831151162791,21,500.0,43008,,,,,,,,,,,,,,
,,,,,,45000,0.2,-0.004052724406938069,0.7546234130859375,1.04730224609375,0.066845703125,0.0003,210,2.2885372,0.029913128041243908,0.0,500.0,0.01859334111213684,0.007058136,-4.3790932044386865
23,0.0,1952,17.838311255555556,22,500.0,45056,,,,,,,,,,,,,,
23,0.0,1978,17.096876351063827,23,500.0,47104,0.2,-0.0032685033278539778,0.3294578790664673,1.0510154962539673,0.058251953125,0.0003,220,,2.275970420593512,,,0.017955774441361427,0.0071436204,-4.400318802893162
,,,,,,47500,0.2,-0.00164322878990788,0.27944934368133545,1.0561151504516602,0.0490234375,0.0003,230,3.9381923999999997,0.1377143701649402,0.0,500.0,0.004083632957190275,0.005777981,-4.411509697139263
23,0.0,2082,16.543504081632655,24,500.0,49152,,,,,,,,,,,,,,
,,,,,,50000,0.2,-0.0036186768644256516,0.8248034715652466,1.0538114309310913,0.05751953125,0.0003,240,3.3377877999999996,0.12209169200014003,0.0,500.0,0.0511588416993618,0.007809399,-4.417433981597424
23,0.0,2189,16.201578330000004,25,500.0,51200,,,,,,,,,,,,,,
