#{"t_start": 1753334473.632264, "env_id": "None"}
r,l,t
3.316744,500,43.528756
1.105575,500,59.096305
4.429554,500,76.089323
0.0,500,91.483184
0.552788,500,107.060570.02.763959,500,148.280671
2.211147,500,166.396925
0.0,500,181.568329
8.291781,500,196.576859
0.552787,500,212.8916270.0.756744,500,260.882295
2.211152,500,278.397359
2.211151,500,294.179486
2.213437,500,309.697449
1.105576,500,325.0.0,500,0.0,500,367.250945
0.0,500,384.969477
0.0,500,401.143106
0.552787,500,417.11899
0.0,500,433.411078
0.0,500,480.694218
2.763936,500,496.709065
4.219343,500,512.976263
0.679957,500,528.456573
6.633434,500,544.033498
1.75044,500,584.963439
1.107507,500,601.08602
1.300298,500,617.685149
9.95013,500,633.365402
0.0,500,6490.0,500,65.702853,500,691.109155
0.552787,500,706.743604
25.467179,500,723.577181
3.86951,500,739.199743
1.3298490.0,500,764.399126.541831,500,803.030043
0.552788,500,818.962678
2.196772,500,834.849301
13.819608,500,850.648700.0,500,874.135102
3.881201.10558,500,907.334039
13.629422,500,924.168178
0.552788,500,940.28875
0.0,500,957.773081
0.0,500,985.027762
0.0,51.658376,500,1024.375348
7.108982,500,1040.132568
3.344804,500,1056.773897
8.844576,500,100.0,500,1092.599326
0.0,500,1099.6749.186139,500,1130.665019
0.771728,500,1146.745479
2.264125,500,1164.58339
0.0,500,0.0,500,1202.01549
1.645956,500,1208.10.0,500,1241.530278
0.552787,500,1257.203807
0.0,500,1272.833749
4.64033,500,0.0,500,1310.310731
0.0,500,1318.329500.063735,500,1348.210695
0.0,500,1364.398359
276.355829,500,1379.658843
10.0,500,1419.203797
0.552788,500,1423.751467
0.52.211147,500,1458.550475
0.348525,500,1474.641978
7.186215,500,1491.676370.0,500,1529.342956
0.0,500,1533.503667
0.934607,5006.43607,500,1568.369072
1.105574,500,1584.005983
0.0,500,1599.560.0,500,1636.805537
0.312838,500,1641.479175
1.319654,503.902095,500,1675.068363
3.316721,500,1691.238249
2.763939,500,170.0,500,1743.698706
0.0,500,1750.698336
3.104992,500,1754.900.557193,500,1781.532109
1.658363,500,1796.506675
20.0,500,1850.235232
276.37664,500,1857.085618
0.484318,500,1861.528025
0.7.187221,500,1887.449248
0.58006,500,1903.419022
0.0,500,1959.429033
0.0,500,1966.048654
0.552788,500,1970.865612
1.105576,54.68861,500,2000.415269
1.669269,5000.0,500,2070.721419
3.86951,500,2076.068765
10.287513,500,2081.6538
0.0,500,2088.922777
0.0,500,2111.49437
50.0,500,2183.084891
0.0,500,2188.11697
381679
8.34565,500,2161.127372
1.70985,500,2176.805137
